pretty_formula,band_gap,formation_energy_per_atom,volume,A_site_electronegativity,B_site_electronegativity,X_site_electronegativity,A_site_weight,B_site_weight,X_site_weight,A_site_affinity,B_site_affinity,X_site_affinity,A_site_fir_ionization_energy,B_site_fir_ionization_energy,X_site_fir_ionization_energy,tolerance_factor,tolerance_factor.1,octahedral_factor,octahedral_factor.1,(u+t)n,(u+t)n.1,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,H fraction,He fraction,Li fraction,Be fraction,B fraction,C fraction,N fraction,O fraction,F fraction,Ne fraction,Na fraction,Mg fraction,Al fraction,Si fraction,P fraction,S fraction,Cl fraction,Ar fraction,K fraction,Ca fraction,Sc fraction,Ti fraction,V fraction,Cr fraction,Mn fraction,Fe fraction,Co fraction,Ni fraction,Cu fraction,Zn fraction,Ga fraction,Ge fraction,As fraction,Se fraction,Br fraction,Kr fraction,Rb fraction,Sr fraction,Y fraction,Zr fraction,Nb fraction,Mo fraction,Tc fraction,Ru fraction,Rh fraction,Pd fraction,Ag fraction,Cd fraction,In fraction,Sn fraction,Sb fraction,Te fraction,I fraction,Xe fraction,Cs fraction,Ba fraction,La fraction,Ce fraction,Pr fraction,Nd fraction,Pm fraction,Sm fraction,Eu fraction,Gd fraction,Tb fraction,Dy fraction,Ho fraction,Er fraction,Tm fraction,Yb fraction,Lu fraction,Hf fraction,Ta fraction,W fraction,Re fraction,Os fraction,Ir fraction,Pt fraction,Au fraction,Hg fraction,Tl fraction,Pb fraction,Bi fraction,Po fraction,At fraction,Rn fraction,Fr fraction,Ra fraction,Ac fraction,Th fraction,Pa fraction,U fraction,Np fraction,Pu fraction,Am fraction,Cm fraction,Bk fraction,Cf fraction,Es fraction,Fm fraction,Md fraction,No fraction,Lr fraction,mean AtomicWeight,mean Column,mean Row,range Number,mean Number,range AtomicRadius,mean AtomicRadius,range Electronegativity,mean Electronegativity,avg s valence electrons,avg p valence electrons,avg d valence electrons,avg f valence electrons,frac s valence electrons,frac p valence electrons,frac d valence electrons,frac f valence electrons,transition metal fraction,band center,minimum oxidation state,maximum oxidation state,range oxidation state,std_dev oxidation state,avg anion electron affinity,minimum EN difference,maximum EN difference,range EN difference,mean EN difference,std_dev EN difference,dist from 1 clusters |APE| < 0.010,dist from 3 clusters |APE| < 0.010,dist from 5 clusters |APE| < 0.010,cohesive energy (MP)
HPbI3,0,0.234286579,243.4630887,2.2,2.33,2.66,1.008,207.2,126.9,0.755,0.364,3.06,13.598,7.417,10.451,0.481833824,0.481833824,0.645631068,0.645631068,1.06079724,1.06079724,1,82,81,48.4,18.96,53,81,96,15,92.2,4.56,96,1.00794,207.2,206.19206,117.78427,46.710532,126.90447,14.01,600.61,586.6,355.034,136.4096,386.85,1,17,16,13.2,4.88,17,1,6,5,4.4,1.36,5,31,146,115,118.8,35.12,139,2.2,2.66,0.46,2.502,0.1896,2.66,1,2,1,1.8,0.32,2,0,5,5,3.4,1.92,5,0,10,10,8,3.2,10,0,14,14,2.8,4.48,0,1,28,27,16,6,17,0,1,1,0.2,0.32,0,0,4,4,1.4,1.04,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,1.6,0.96,1,6.615,43.015,36.4,32.754,12.3132,43.015,0,7.853,7.853,2.2078,2.25808,1.062,0,0,0,0,0,0,64,225,161,122.2,69.84,64,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.78427,13.2,4.4,81,48.4,1.55,1.25,0.46,2.502,1.8,3.4,8,2.8,0.1125,0.2125,0.5,0.175,0,6.123363128,-1,2,3,1.690308509,-295200,0.33,0.46,0.13,0.395,0.091923882,0.189652835,0.210402457,0.227859056,1.806261804
DyBPd3,0,-0.629392792,80.59755188,1.22,2.04,2.2,162.5,10.81,106.42,0.52,0.277,0.557,5.939,8.298,8.337,0.960597891,0.960597891,0.65625,0.65625,1.315462875,1.315462875,5,66,61,41.8,14.72,46,31,72,41,57.8,10.72,62,10.811,162.5,151.689,98.5142,35.08128,106.42,1685,2348,663,1903.43,177.828,1828.05,3,13,10,9.2,2.48,10,2,6,4,4.6,1.04,5,84,192,108,138.6,21.84,139,1.22,2.2,0.98,1.972,0.3008,2.2,0,2,2,0.8,0.96,0,0,1,1,0.2,0.32,0,0,10,10,6,4.8,10,0,10,10,2,3.2,0,3,12,9,9,2.4,10,0,0,0,0,0,0,0,5,5,1,1.6,0,0,0,0,0,0,0,0,4,4,0.8,1.28,0,0,5,5,1.8,2.16,0,7.1725,31.24,24.0675,16.3285,5.9646,14.41,0,1.524,1.524,0.3048,0.48768,0,0,0,0,0,0,0,166,225,59,207,21.6,225,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.5142,9.2,4.6,61,41.8,0.9,1.36,0.98,1.972,0.8,0.2,6,2,0.088888889,0.022222222,0.666666667,0.222222222,0.6,4.140813446,0,0,0,0,-46779.66667,-0.000466667,0.455233333,0,0.150133333,0,0.05367389,0.067462633,0.079117266,5.003611976
EuFeO3,0,-2.517135216,119.2222786,1.2,1.83,3.44,151.964,55.845,15.999,0.52,0.163,1.46,5.67,7.903,13.618,0.851066469,0.851066469,0.547619048,0.547619048,1.09391091,1.09391091,8,63,55,22.6,17.52,8,25,87,62,68.2,22.56,87,15.9994,151.964,135.9646,51.16144,42.194448,15.9994,54.8,1811,1756.2,614.08,671.136,54.8,3,16,13,11.8,5.04,16,2,6,4,3.2,1.44,2,66,198,132,105.6,47.52,66,1.185,3.44,2.255,2.667,0.9276,3.44,2,2,0,2,0,2,0,4,4,2.4,1.92,4,0,6,6,1.2,1.92,0,0,7,7,1.4,2.24,0,6,9,3,7,1.2,6,0,0,0,0,0,0,0,2,2,1.2,0.96,2,0,4,4,0.8,1.28,0,0,7,7,1.4,2.24,0,2,7,5,3.4,1.68,2,9.105,36.46,27.355,14.901,8.6236,9.105,0,0,0,0,0,0,0,2.1106628,2.1106628,0.42213256,0.675412096,0,12,229,217,98.8,104.16,12,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.16144,11.8,3.2,55,22.6,1.25,1.01,2.255,2.667,2,2.4,1.2,1.4,0.285714286,0.342857143,0.171428571,0.2,0.2,5.567500381,-2,3,5,3.273268354,-282000,1.61,2.24,0.63,1.925,0.445477272,0.044019499,0.070334978,0.091190781,5.87109243
HfMgO3,0.7867,-3.053598819,67.54126685,1.3,1.31,3.44,178.486,24.305,15.999,0,0,1.46,6.825,7.646,13.618,0.703771372,0.703771372,0.682539683,0.682539683,1.158234909,1.158234909,8,72,64,21.6,20.16,8,45,87,42,74.8,14.64,87,15.9994,178.49,162.4906,50.15864,51.332544,15.9994,54.8,2506,2451.2,718.68,796.656,54.8,2,16,14,10.8,6.24,16,2,6,4,3,1.2,2,66,175,109,102.8,44.16,66,1.3,3.44,2.14,2.586,1.0248,3.44,2,2,0,2,0,2,0,4,4,2.4,1.92,4,0,2,2,0.4,0.64,0,0,14,14,2.8,4.48,0,2,18,16,7.6,4.16,6,0,0,0,0,0,0,0,2,2,1.2,0.96,2,0,8,8,1.6,2.56,0,0,0,0,0,0,0,0,8,8,2.8,2.08,2,9.105,22.89,13.785,14.481,6.4512,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,194,182,84.8,87.36,12,0,0,0,0,0,0,0,0.6,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.15864,10.8,3,64,21.6,0.95,0.97,2.14,2.586,2,2.4,0.4,2.8,0.263157895,0.315789474,0.052631579,0.368421053,0,5.617197688,-2,4,6,3.380617019,-282000,2.13,2.14,0.01,2.135,0.007071068,0.042599822,0.047256062,0.050981054,6.747692704
CaVO3,0,-2.838376798,56.19975561,1,1.63,3.44,40.078,50.7415,15.999,0.0246,0.524,1.46,6.113,6.746,13.618,0.857099129,0.857099129,0.571428571,0.571428571,1.232231753,1.232231753,8,23,15,13.4,6.48,8,7,87,80,62.8,29.04,87,15.9994,50.9415,34.9421,27.80354,14.164968,15.9994,54.8,2183,2128.2,692.48,765.216,54.8,2,16,14,11,6,16,2,4,2,2.8,0.96,2,66,176,110,105.4,47.28,66,1,3.44,2.44,2.59,1.02,3.44,2,2,0,2,0,2,0,4,4,2.4,1.92,4,0,3,3,0.6,0.96,0,0,0,0,0,0,0,2,6,4,5,1.2,6,0,0,0,0,0,0,0,2,2,1.2,0.96,2,0,7,7,1.4,2.24,0,0,0,0,0,0,0,0,7,7,2.6,1.76,2,9.105,37.77,28.665,15.619,8.8604,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,229,217,98,103.2,12,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.80354,11,2.8,15,13.4,1.2,0.99,2.44,2.59,2,2.4,0.6,0,0.4,0.48,0.12,0,0.2,5.444116514,-2,4,6,3.380617019,-282000,1.81,2.44,0.63,2.125,0.445477272,0.05367389,0.067718767,0.088852998,6.451641219
HgRhO3,0,-0.591591965,62.60416052,2,2.28,3.44,200.59,102.9,15.999,0,1.137,1.46,10.438,7.459,13.618,0.855599205,0.855599205,0.587301587,0.587301587,1.215866924,1.215866924,8,80,72,29.8,26.16,8,59,87,28,78.2,10.56,87,15.9994,200.59,184.5906,70.29874,65.159208,15.9994,54.8,2237,2182.2,527.144,683.9424,54.8,9,16,7,13.8,2.64,16,2,6,4,3.4,1.68,2,66,142,76,94.4,34.08,66,2,3.44,1.44,2.92,0.624,3.44,1,2,1,1.8,0.32,2,0,4,4,2.4,1.92,4,0,10,10,3.6,4.32,0,0,14,14,2.8,4.48,0,6,26,20,10.6,6.16,6,0,1,1,0.2,0.32,0,0,2,2,1.2,0.96,2,0,2,2,0.4,0.64,0,0,0,0,0,0,0,0,3,3,1.8,0.72,2,9.105,25.23758621,16.13258621,13.23851724,4.96022069,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,225,213,85.4,88.08,12,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.29874,13.8,3.4,72,29.8,0.9,0.93,1.44,2.92,1.8,2.4,3.6,2.8,0.169811321,0.226415094,0.339622642,0.264150943,0.2,6.260368842,-2,4,6,3.380617019,-282000,1.16,1.44,0.28,1.3,0.197989899,0.020412415,0.032724665,0.043420699,3.863011364
CaGeO3,0.5743,-2.59071794,54.14902551,1,2.01,3.44,40.078,72.63,15.999,0.0246,1.23,1.46,6.113,7.9,13.618,0.879303769,0.879303769,0.531746032,0.531746032,1.230380889,1.230380889,8,32,24,15.2,8.64,8,7,87,80,69.4,24.96,87,15.9994,72.64,56.6406,32.14324,19.372608,15.9994,54.8,1211.4,1156.6,498.16,532.032,54.8,2,16,14,12.8,4.32,16,2,4,2,2.8,0.96,2,66,176,110,98.8,39.36,66,1,3.44,2.44,2.666,0.9288,3.44,2,2,0,2,0,2,0,4,4,2.8,1.44,4,0,10,10,2,3.2,0,0,0,0,0,0,0,2,14,12,6.8,2.88,6,0,0,0,0,0,0,0,4,4,2,0.8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,0.8,2,9.105,37.77,28.665,17.618,10.2156,9.105,0,0.383,0.383,0.0766,0.12256,0,0,0,0,0,0,0,12,225,213,97.2,102.24,12,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.14324,12.8,2.8,24,15.2,1.2,0.97,2.44,2.666,2,2.8,2,0,0.294117647,0.411764706,0.294117647,0,0,5.697929322,-2,4,6,3.380617019,-282000,1.43,2.44,1.01,1.935,0.714177849,0.057635053,0.078228114,0.0961017,5.930177485
BaVO3,0,-2.796360867,63.16295593,0.89,1.63,3.44,137.327,50.7415,15.999,0.1446,0.524,1.46,5.212,6.746,13.618,0.982092752,0.982092752,0.571428571,0.571428571,1.326922863,1.326922863,8,56,48,20.6,15.12,8,9,87,78,63.2,28.56,87,15.9994,137.327,121.3276,47.25334,37.504728,15.9994,54.8,2183,2128.2,669.48,737.616,54.8,2,16,14,11,6,16,2,6,4,3.2,1.44,2,66,215,149,113.2,56.64,66,0.89,3.44,2.55,2.568,1.0464,3.44,2,2,0,2,0,2,0,4,4,2.4,1.92,4,0,3,3,0.6,0.96,0,0,0,0,0,0,0,2,6,4,5,1.2,6,0,0,0,0,0,0,0,2,2,1.2,0.96,2,0,7,7,1.4,2.24,0,0,0,0,0,0,0,0,7,7,2.6,1.76,2,9.105,63.59,54.485,20.783,17.1228,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,229,217,98.8,104.16,12,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.25334,11,3.2,48,20.6,1.55,1.06,2.55,2.568,2,2.4,0.6,0,0.4,0.48,0.12,0,0.2,5.29798879,-2,4,6,3.380617019,-282000,1.81,2.55,0.74,2.18,0.523259018,0.044019499,0.073389292,0.103733313,6.336335639
SrMnO3,0,-2.462435511,231.649383,0.95,1.55,3.44,87.62,54.938,15.999,0.0521,0,1.46,5.695,7.434,13.618,0.945251552,0.945251552,0.531746032,0.531746032,1.062541247,1.062541247,8,38,30,17.4,11.28,8,8,87,79,64.2,27.36,87,15.9994,87.62,71.6206,38.111249,26.5342188,15.9994,54.8,1519,1464.2,546.68,590.256,54.8,2,16,14,11.4,5.52,16,2,5,3,3,1.2,2,66,195,129,106.4,48.48,66,0.95,3.44,2.49,2.564,1.0512,3.44,2,2,0,2,0,2,0,4,4,2.4,1.92,4,0,5,5,1,1.6,0,0,0,0,0,0,0,2,7,5,5.4,1.36,6,0,0,0,0,0,0,0,2,2,1.2,0.96,2,0,5,5,1,1.6,0,0,0,0,0,0,0,0,5,5,2.2,1.12,2,9.105,54.23,45.125,18.40651724,14.3293931,9.105,0,0,0,0,0,0,0,0.000310121,0.000310121,6.20E-05,9.92E-05,0,12,225,213,95.6,100.32,12,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.111249,11.4,3,30,17.4,1.4,1.04,2.49,2.564,2,2.4,1,0,0.37037037,0.444444444,0.185185185,0,0.2,5.397066525,-2,4,6,3.380617019,-282000,1.89,2.49,0.6,2.19,0.424264069,0.05367389,0.09057659,0.105761434,5.640091141
ScBPt3,0,-0.636228239,77.42621409,1.36,2.04,2.28,44.955,10.81,195.084,0.188,0.277,2.128,6.562,8.298,9.02,0.8464743,0.8464743,0.205,0.205,1.069553042,1.069553042,5,78,73,52,31.2,78,11,72,61,54.4,17.36,63,10.811,195.084,184.273,128.2037824,80.25626112,195.084,1814,2348,534,2057.24,116.304,2041.4,3,13,10,9.2,2.48,10,2,6,4,4.8,1.44,6,84,170,86,132.4,19.36,136,1.36,2.28,0.92,2.048,0.2784,2.28,1,2,1,1.4,0.48,1,0,1,1,0.2,0.32,0,0,9,9,5.6,4.08,9,0,14,14,8.4,6.72,14,3,24,21,15.6,10.08,24,0,1,1,0.6,0.48,1,0,5,5,1,1.6,0,0,9,9,2.4,2.64,1,0,0,0,0,0,0,2,9,7,4,2.4,2,7.1725,22.235,15.0625,14.8935,3.0884,15.02,0,1.524,1.524,0.3048,0.48768,0,0,6.35E-06,6.35E-06,1.27E-06,2.03E-06,0,166,225,59,207,21.6,225,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.2037824,9.2,4.8,73,52,0.75,1.3,0.92,2.048,1.4,0.2,5.6,8.4,0.08974359,0.012820513,0.358974359,0.538461538,0.6,4.783281941,-2,3,5,3.273268354,-410600,0.24,0.92,0.68,0.58,0.480832611,0,0.032002359,0.067504611,6.11130246
