叙述,元素,符号,电负性,电子亲合能,第一电离能,原子量,原子半径
1,氫,H,2.2,0.755,13.598,1.008,32
2,氦,He,3.89,0,24.587,4.0026,
3,鋰,Li,0.98,0.618,5.391,6.94,60
4,鈹,Be,1.57,0,9.323,9.0121,31
5,硼,B,2.04,0.277,8.298,10.81,20
6,碳,C,2.55,1.595,11.261,12.011,16
7,氮,N,3.04,0.07,14.534,14.007,171
8,氧,O,3.44,1.46,13.618,15.999,140
9,氟,F,3.98,3.4,17.422,18.998,136
10,氖,Ne,3.67,0,21.565,20.1797,
11,鈉,Na,0.93,0.547,5.139,22.989,95
12,鎂,Mg,1.31,0,7.646,24.305,65
13,鋁,Al,1.61,0.44,5.985,26.981,50
14,矽,Si,1.9,1.385,8.151,28.085,42
15,磷,P,2.19,0.75,10.487,30.973,212
16,硫,S,2.58,2.07,10.36,32.06,184
17,氯,Cl,3.16,3.62,12.968,35.45,181
18,氬,Ar,3.3,0,15.76,39.948,
19,鉀,K,0.82,0.502,4.341,39.0983,133
20,鈣,Ca,1,0.0246,6.113,40.078,99
21,鈧,Sc,1.36,0.188,6.562,44.955,81
22,鈦,Ti,1.54,0.079,6.828,47.867,90
23,釩,V,1.63,0.524,6.746,50.7415,88
24,鉻,Cr,1.66,0.666,6.767,51.9961,84
25,錳,Mn,1.55,0,7.434,54.938,80
26,鐵,Fe,1.83,0.163,7.903,55.845,76
27,鈷,Co,1.88,0.66,7.881,58.933,74
28,鎳,Ni,1.91,1.16,7.64,58.6934,72
29,銅,Cu,1.9,1.227,7.727,63.546,72
30,鋅,Zn,1.65,0,9.394,65.38,74
31,鎵,Ga,1.81,0.3,5.999,69.723,62
32,鍺,Ge,2.01,1.23,7.9,72.63,73
33,砷,As,2.18,0.81,9.815,74.921,222
34,硒,Se,2.55,2.02,9.753,78.971,198
35,溴,Br,2.96,3.364,11.814,79.904,195
36,氪,Kr,3,0,14,83.798,
37,銣,Rb,0.82,0.486,4.177,85.4678,148
38,鍶,Sr,0.95,0.0521,5.695,87.62,113
39,釔,Y,1.22,0.307,6.22,88.905,162
40,鋯,Zr,1.33,0.426,6.634,91.224,80
41,鈮,Nb,1.6,0.892,6.759,92.906,70
42,鉬,Mo,2.6,0.745,7.092,95.95,62
43,鍀,Tc,1.9,0.55,7.28,98,127
44,釕,Ru,2.2,1.05,7.361,101.07,81
45,銠,Rh,2.28,1.137,7.459,102.9,80
46,鈀,Pd,2.2,0.557,8.337,106.42,85
47,銀,Ag,1.93,1.302,7.576,107.86,126
48,鎘,Cd,1.69,0,8.994,112.414,97
49,銦,In,1.78,0.3,5.786,114.818,81
50,錫,Sn,1.96,1.112,7.344,118.71,93
51,銻,Sb,2.05,1.07,8.64,121.76,92
