ions,radius/pm,备注,,
H0+,31,,,
H1+,25,,,
H1-,130,non-6,,
Li0+,128,,,
Li1+,90,,,
Be0+,96,,,
Be2+,0.59,,,
B0+,84,,,
B3+,41,,,
B3-,127,,,
C0+,69,,,
C2+,49.5,non-6,,
C3+,39.75,non-6,,
C4+,30,,,
C2-,90,non-6,,
C3-,120,non-6,,
C4-,150,non-6,,
N0+,70,,,
N1+,57,non-6,,
N1-,90,non-6,,
N2-,111,non-6,,
N3-,132,non-6,,
N3+,30,,,
N5+,27,,,
O0+,73,,,
O2-,126,,,
F0+,71,,,
F1-,119,,,
F7+,22,,,
Na0+,154,,,
Na1+,116,,,
Mg0+,136,,,
Mg2+,86,,,
Al0+,118,,,
Al3+,67.5,,,
Si0+,117,,,
Si4+,54,,,
Si4-,260,non-6,,
P0+,110,,,
P3+,58,,,
P4+,55,non-6,,
P5+,52,,,
S0+,104,,,
S1-,160,non-6,,
S2-,170,,,
S4+,51,,,
S6+,43,,,
Cl0+,99,,,
Cl1-,167,,,
Cl5+,26,non-6,,
Cl7+,41,,,
K0+,203,,,
K1+,152,,,
Ca0+,174,,,
Ca2+,114,,,
Sc0+,144,,,
Sc2+,95,non-6,,
Sc3+,88.5,,,
Ti0+,132,,,
Ti2+,100,,,
Ti3+,81,,,
Ti4+,74.5,,,
V0+,122,,,
V2+,93,,,
V3+,78,,,
V4+,72,,,
V5+,68,,,
Cr0+,118,,,
Cr2+,87,,,
Cr3+,75.5,,,
Cr4+,69,,,
Cr5+,63,,,
Cr6+,58,,,
Mn0+,117,,,
Mn2+,81,,,
Mn3+,72,,,
Mn4+,67,,,
Mn5+,47,non-6,,
Mn6+,39.5,non-6,,
Mn7+,60,,,
Fe0+,117,,,
Fe2+,75,,,
Fe3+,69,,,
Fe4+,72.5,,,
Fe6+,39,non-6,,
Co0+,116,,,
Co1+,83,non-6,,
Co2+,79,,,
Co3+,68.5,,,
Co4+,67,,,
Ni0+,115,,,
Ni1+,96,non-6,,
Ni2+,83,,,
Ni3+,70,,,
Ni4+,62,,,
Cu0+,117,,,
Cu1+,91,,,
Cu2+,87,,,
Cu3+,68,,,
Zn0+,125,,,
Zn2+,88,,,
Ga0+,126,,,
Ga2+,80,non-6,,
Ga3+,76,,,
Ge0+,122,,,
Ge2+,87,,,
Ge3+,77,non-6,,
Ge4+,67,,,
As0+,121,,,
As3+,72,,,
As5+,60,,,
As3-,200,non-6,,
As1-,200,non-6,,
Se0+,117,,,
Se2-,184,,,
Se4+,64,,,
Se6+,56,,,
Se1-,160,non-6,,
Br0+,114,,,
Br1-,182,,,
Br3+,73,non-6,,
Br5+,45,non-6,,
Br7+,53,,,
Rb0+,216,,,
Rb1+,166,,,
Sr0+,191,,,
Sr2+,132,,,
Y0+,162,,,
Y3+,104,,,
Zr0+,145,,,
Zr2+,94,non-6,,
Zr3+,90,non-6,,
Zr4+,86,,,
Nb0+,134,,,
Nb3+,86,,,
Nb4+,82,,,
Nb5+,78,,,
Mo0+,130,,,
Mo2+,87,non-6,,
Mo3+,83,,,
Mo4+,79,,,
Mo5+,75,,,
Mo6+,73,,,
Tc0+,127,,,
Tc2+,88.5,non-6,,
Tc3+,83,non-6,,
Tc4+,78.5,,,
Tc5+,74,,,
Tc6+,72,non-6,,
Tc7+,70,,,
Ru0+,125,,,
Ru2+,96,non-6,,
Ru3+,82,,,
Ru4+,76,,,
Ru5+,70.5,,,
Ru7+,52,non-6,,
Ru8+,50,non-6,,
Rh0+,125,,,
Rh3+,80.5,,,
Rh4+,74,,,
Rh5+,69,,,
Pd0+,128,,,
Pd1+,73,non-6,,
Pd2+,100,,,
Pd3+,90,,,
Pd4+,75.5,,,
Ag0+,134,,,
